Nombre;Precio (€)
Canto pulido recto en luna. Espesor hasta 6 mm.;2.27
Canto pulido recto en luna. Espesor de 8 a 12 mm.;3.93
Canto pulido recto en luna. Espesor 15 mm o mayor.;6.34
Canto pulido curvo en luna. Espesor hasta 6 mm.;4.09
Canto pulido curvo en luna. Espesor de 8 a 12 mm.;8.68
Canto pulido curvo en luna. Espesor 15 mm o mayor.;16.9
Canto pulido visto recto en laminar. Espesor hasta 6 mm.;6.47
Canto pulido visto recto en laminar. Espesor de 7 a 12 mm.;8.58
Canto pulido visto recto en laminar. Espesor de 13 a 20 mm.;10.72
Canto pulido visto recto en laminar. Espesor 21 mm o mayor.;12.87
Canto pulido oculto recto en laminar. Espesor hasta 6 mm.;3.23
Canto pulido oculto recto en laminar. Espesor de 7 a 12 mm.;4.29
Canto pulido oculto en laminar. Espesor de 13 a 20 mm.;5.36
Canto pulido oculto en laminar. Espesor 21 mm o mayor.;6.43
Bisel sobre canto recto en luna. Espesor hasta 6 mm.;3.31
Bisel sobre canto recto en luna. Espesor de 8 a 12 mm.;4.69
Bisel sobre canto recto en luna. Espesor 15 mm o mayor.;5.8
Bisel sobre canto curvo en luna. Espesor hasta 6 mm.;16.84
Bisel sobre canto curvo en luna. Espesor de 8 a 12 mm.;21.59
Bisel sobre canto curvo en luna. Espesor 15 mm o mayor.;27.61
Pecho paloma sobre canto recto en luna. Espesor de 10 a 12 mm.;18.61
Pecho paloma sobre canto recto en luna. Espesor de 15 a 19 mm.;22.34
Pecho paloma sobre canto curvo en luna. Espesro de 10 a 12 mm.;34.75
Pecho paloma sobre canto curvo en luna. Espesor de 15 a 19 mm.;39.71
Inglete en laminar. Espesor hasta 12 mm.;21.53
Inglete en laminar. Espesor de más de 12 y hasta 18 mm.;25.22
Inglete en laminar. Espesor de más de 18 mm.;31.58
Esquina ochava o roma biselada en luna. Espesor hasta 6 mm.;10.27
Esquina ochava o roma biselada en luna. Espesor de 8 a 12 mm.;12.84
Esquina ochava o roma biselada en luna. Espesor 15 mm o mayor.;18.2
